strain,csSRR,csSRR_sd,eps34,eps34_sd,PO4
DMSS1 Sim,10.11144,4.6,15.52174,0.4,3600
DMSS1 Sim,14.39862,3.4,14.81072,0.3,3600
DMSS1 Sim,10.14653,2,13.7,0.3,3600
DMSS1 Sim,11.22631,2,14.7,0.3,3600
DMSS1 Sim,9,1.6,,,3600
DMSS1 Sim,3.2,0.5,39.3,0.3,3600
DMSS1 Sim,2.9,0.5,,,3600
DMSS1 Sim,2.6,0.4,32.2,0.3,3600
DMSS1 Sim,2.9,0.5,30.4,0.5,3600
DMSS1 Sim,0.8,0.1,,,3600
DMSS1 Sim,0.7,0.1,44.1,0.4,3600
DMSS1 Sim,26.1,6.5,,,3600
DMSS1 Sim,19.3,3.5,9.840433,0.3,3600
DMSS1 Sim,14.4,2.5,8.9,0.3,3600
DMSS1 Sim,22.43915,16.6,6.060866,0.3,3600
DMSS1 Sim,24.07731,5.4,6.537769,0.3,3600
DMSS1 Sim,10,1.8,,,3600
DMSS1 Sim,13.02152,2.6,16.243,0.3,3600
DMSS1 Sim,6.556519,1.1,17.97271,0.3,3600
DMSS1 Sim,12.0851,7.9,7.255575,0.3,3600
DMSS1 Sim,9.007125,1.9,8.50942,0.3,3600
DMSS1 Sim,1.7,0.3,37.4,0.3,3600
DMSS1 Sim,1.9,0.3,35.8,0.3,3600
DMSS1 Sim,7.4,2.1,21,0.3,3600
DMSS1 Science,1.1,0.2,65.2,0.3,3600
DMSS1 Science,1.6,0.2,52.6,0.3,3600
DMSS1 FeN,28.1,2.6,6.8,0.2,3600
DMSS1 FeN,25.1,2.6,7,0.2,3600
DMSS1 FeN,18.7,1.4,11.7,0.3,3600
DMSS1 FeN,20.1,1.7,10.4,0.3,3600
DMSS1 FeN,62.4,5.2,8.4,0.3,3600
DMSS1 FeN,62.9,5.7,7.8,0.2,3600
DMSS1 FeN,5.3,0.7,16.7,0.3,3600
DMSS1 FeN,4.9,0.5,19.1,0.3,3600
DMSS1 FeN,4.3,0.5,18.6,0.3,3600
DMSS1 FeN,4.1,0.4,17.5,0.3,3600
DMSS1 FeN,2.9,0.3,25.1,0.3,3600
DMSS1 FeN,2.2,0.2,28.9,0.3,3600
DMSS1 FeN,6.5,0.7,21.9,0.4,3600
DMSS1 FeN,8.3,0.7,22.6,0.4,3600
DMSS1 FeN,8.5,0.7,22.7,0.4,3600
DMSS1 Z,,,,,360
DMSS1 Z,,,,,360
DMSS1 Z,823.8,,,,360
DMSS1 Z,675.5,1.1,8.2,,360
DMSS1 Z,378.5,,,,360
DMSS1 Z,,,,,36
DMSS1 Z,,,,,36
DMSS1 Z,861.6,0.9,4.8,,36
DMSS1 Z,939.2,,,,36
DMSS1 Z,567,,,,36
DMSS1 Z,422.4,,,,36
DMSS1 Z,,,,,5
DMSS1 Z,,,,,5
DMSS1 Z,165.4,0.8,5.3,,5
DMSS1 Z,149.3,,,,5
DMSS1 Z,133.8,,,,5
DMSS1 Z,128.2,,,,5
